trip_id,start_time,end_time,headway_secs
"47","05:30:00","09:00:00","600"
"47","09:01:00","15:00:00","900"
"47","15:01:00","20:00:00","600"
"48","05:30:00","09:00:00","600"
"48","09:01:00","15:00:00","900"
"48","15:01:00","20:00:00","600"
"49","05:01:00","09:00:00","600"
"49","09:01:00","15:00:00","900"
"49","15:01:00","20:00:00","600"
"50","05:01:00","09:00:00","600"
"50","09:01:00","15:00:00","900"
"50","15:01:00","20:00:00","600"
"51","05:01:00","09:00:00","600"
"51","09:01:00","15:00:00","900"
"51","15:01:00","20:00:00","600"
"52","05:01:00","09:00:00","600"
"52","09:01:00","15:00:00","900"
"52","15:01:00","20:00:00","600"
"53","05:01:00","09:00:00","600"
"53","09:01:00","15:00:00","900"
"53","15:01:00","20:00:00","600"
"54","05:01:00","09:00:00","600"
"54","09:01:00","15:00:00","900"
"54","15:01:00","20:00:00","600"
"55","05:30:00","09:00:00","600"
"55","09:01:00","15:00:00","900"
"55","15:01:00","20:00:00","600"
"56","05:30:00","09:00:00","600"
"56","09:01:00","15:00:00","900"
"56","15:01:00","20:00:00","600"
"57","06:00:00","09:00:00","600"
"57","09:01:00","15:00:00","900"
"57","15:01:00","20:00:00","600"
"58","06:00:00","09:00:00","600"
"58","09:01:00","15:00:00","900"
"58","15:01:00","20:00:00","600"
"59","05:00:00","09:00:00","600"
"59","09:01:00","15:00:00","900"
"59","15:01:00","20:00:00","600"
"60","05:00:00","09:00:00","600"
"60","09:01:00","15:00:00","900"
"60","15:01:00","20:00:00","600"
"61","05:00:00","09:00:00","600"
"61","09:01:00","15:00:00","900"
"61","15:01:00","20:00:00","600"
"62","05:00:00","09:00:00","600"
"62","09:01:00","15:00:00","900"
"62","15:01:00","20:00:00","600"
"63","05:00:00","09:00:00","600"
"63","09:01:00","15:00:00","900"
"63","15:01:00","20:00:00","600"
"64","05:00:00","09:00:00","600"
"64","09:01:00","15:00:00","900"
"64","15:01:00","20:00:00","600"
"65","05:00:00","09:00:00","600"
"65","09:01:00","15:00:00","900"
"65","15:01:00","20:00:00","600"
"66","05:00:00","09:00:00","600"
"66","09:01:00","15:00:00","900"
"66","15:01:00","20:00:00","600"
"67","06:00:00","09:00:00","600"
"67","09:01:00","15:00:00","900"
"67","15:01:00","20:00:00","600"
"68","06:00:00","09:00:00","600"
"68","09:01:00","15:00:00","900"
"68","15:01:00","20:00:00","600"
"69","05:30:00","09:00:00","600"
"69","09:01:00","15:00:00","900"
"69","15:01:00","20:00:00","600"
"70","05:30:00","09:00:00","600"
"70","09:01:00","15:00:00","900"
"70","15:01:00","20:00:00","600"
"71","05:00:00","09:00:00","600"
"71","09:00:00","17:00:00","28800"
